    CK07G010  2008 11 14.3047  2.645948  0.999485  223.8829   79.0272   88.6063  20180124   5.5  4.0  C/2007 G1 (LINEAR)                                       MPC 66464
    PK07K020  2026 12 26.3500  2.281982  0.685355  347.5361  188.6451    7.6592  20180124  14.0  4.0  P/2007 K2 (Gibbs)                                        MPC 82314
    CK07K030  2008 04 22.5408  2.026201  0.998692   23.2956  263.1933   16.3982  20180124   9.5  4.0  C/2007 K3 (Siding Spring)                                MPC 82314
    CK07M010  2008 08  5.9232  7.474523  0.993331   52.6232  326.8898  139.7187  20180124   6.0  4.0  C/2007 M1 (McNaught)                                     MPC 87475
    CK07M020  2008 12 10.9701  3.543666  0.997895  220.7211  357.2308   81.0638  20180124   8.0  4.0  C/2007 M2 (Catalina)                                     MPC 68392
    CK07N030  2009 01  8.2419  1.230555  0.999197  136.6491  338.1666  178.3769  20180124   6.5  4.0  C/2007 N3 (Lulin)                                        MPC 73461
    PK07Q020  2020 11 27.8031  1.859625  0.669823  162.9406  172.2521   10.2146  20180124  16.0  4.0  P/2007 Q2 (Gilmore)                                      MPC 60925
    CK07Q030  2009 10  7.2458  2.267647  1.000617    2.2862  149.3649   65.6275  20180124   4.5  4.0  C/2007 Q3 (Siding Spring)                                MPC 78183
    PK07R010  2022 06  9.2305  4.330079  0.283241  175.0232  181.5300    7.8473  20180124   8.0  4.0  P/2007 R1 (Larson)                                       MPC 75514
    PK07R020  2020 09 14.6772  1.614857  0.546434  352.4064   11.8674    1.2346  20180124  17.0  4.0  P/2007 R2 (Gibbs)                                        MPC 75708
    PK07R040  2021 12 11.2376  1.944148  0.669513  283.0561   87.2915   20.2132  20180124  14.5  4.0  P/2007 R4 (Garradd)                                      MPC 75708
    PK07S010  2015 05  9.3064  2.502501  0.341969  245.9445  141.5037    5.9676  20180124  13.0  4.0  P/2007 S1 (Zhao)                                         MPC 73462
    CK07S020  2008 09 11.6992  5.577731  0.556065  210.6764  296.0782   16.8544  20180124   6.5  4.0  C/2007 S2 (Lemmon)                                       MPC 82314
    CK07T010  2007 12  8.2867  0.978146  0.999499  233.8880  111.5861  117.7756  20180124  10.5  4.0  C/2007 T1 (McNaught)                                     MPC 62270
    PK07T020  2018 07 23.4528  0.656272  0.784823  359.6189    3.4130    9.7349  20180124  18.5  4.0  P/2007 T2 (Kowalski)                                     MPC 61994
    PK07T040  2019 07 23.7455  2.004153  0.617916   42.4756   37.0564   23.8608  20180124  13.0  4.0  P/2007 T4 (Gibbs)                                        MPC 62879
    CK07T050  2008 05 23.3879  4.069190  0.913106   34.5815  109.7999   45.5424  20180124   8.0  4.0  C/2007 T5 (Gibbs)                                        MPC 65935
    CK07U010  2008 08  9.5872  3.314704  1.000586    1.2886   50.4646  157.7305  20180124   9.0  4.0  C/2007 U1 (LINEAR)                                       MPC 66921
    PK07V010  2019 01 12.1490  2.676356  0.462195   51.6389    7.9360   10.7597  20180124  12.0  4.0  P/2007 V1 (Larson)                                       MPC 75708
    PK07V11Q  2020 09 18.5157  2.693162  0.502701  277.7974  163.8189   12.3255  20180124  12.0  4.0  P/2007 VQ11 (Catalina)                                   MPC 75708
    CK07V53O  2010 04 24.1298  4.855774  1.000566   75.1479   59.6992   86.8607  20180124   7.0  4.0  C/2007 VO53 (Spacewatch)                                 MPC 81468
    CK07W010  2008 06 25.2304  0.834534  0.999297  306.2551  334.5641    9.8948  20180124   9.5  4.0  C/2007 W1 (Boattini)                                     MPC 63599
    CK07W030  2008 06  3.4437  1.768922  0.999537  112.5572   72.7241   78.6218  20180124  12.0  4.0  C/2007 W3 (LINEAR)                                       MPC 63376
    CK07Y010  2008 03 19.2933  3.361605  0.999816  357.2892  133.0940  110.1156  20180124  10.5  4.0  C/2007 Y1 (LINEAR)                                       MPC 62271
    CK07Y020  2008 04 11.7299  4.199552  0.995785  257.7035  303.4000   98.4375  20180124   9.0  4.0  C/2007 Y2 (McNaught)                                     MPC 62271
    CK08A010  2008 09 28.0973  1.064077  0.999649  348.2972  277.7183   82.8360  20180124   6.5  4.0  C/2008 A1 (McNaught)                                     MPC 65935
    CK08C010  2008 04 17.1678  1.273454  0.999849  181.0545  307.7727   61.7024  20180124  10.0  4.0  C/2008 C1 (Chen-Gao)                                     MPC 62582
    PK08C94L  2021 09 30.2334  5.411924  0.120336   81.2553   33.3522    8.3544  20180124   8.0  4.0  P/2008 CL94 (Lemmon)                                     MPC 75708
    CK08E010  2008 08  8.2044  4.875044  0.549228  270.7520  188.8170   34.8210  20180124   7.0  4.0  C/2008 E1 (Catalina)                                     MPC 64113
    CK08E030  2008 07 28.9910  5.529949  0.995312  218.0032  105.6727  105.1989  20180124   6.0  4.0  C/2008 E3 (Garradd)                                      MPC 68392
    CK08F75K  2010 09 30.6290  4.499883  1.000653   80.3521  218.2841   61.3056  20180124   5.0  4.0  C/2008 FK75 (Lemmon-Siding Spring)                       MPC 88324
    CK08G010  2009 01 13.1323  3.983524  0.986060   63.6641  215.9262   73.0811  20180124   9.5  4.0  C/2008 G1 (Gibbs)                                        MPC 82314
    CK08H010  2008 03 13.5059  2.769918  0.945380   96.1099   34.4146   75.3650  20180124  10.5  4.0  C/2008 H1 (LINEAR)                                       MPC 63137
    CK08J010  2008 07 10.0038  1.726979  0.988965   68.0344  273.6156   61.9427  20180124  10.0  4.0  C/2008 J1 (Boattini)                                     MPC 65054
    CK08J050  2008 04  1.4432  1.943662  0.971465  313.0478  286.9058   93.3381  20180124  12.0  4.0  C/2008 J5 (Garradd)                                      MPC 63376
    CK08J060  2008 04  9.6228  1.989117  1.000784   10.5235  298.1650   45.0969  20180124  10.5  4.0  C/2008 J6 (Hill)                                         MPC 82314
    PK08L020  2023 05 14.5272  2.337480  0.611969  141.2757  218.0063   25.8388  20180124  12.5  4.0  P/2008 L2 (Hill)                                         MPC 75709
    CK08N010  2009 09 21.4333  2.799218  0.996707  100.8292  357.3943  115.4189  20180124   9.0  4.0  C/2008 N1 (Holmes)                                       MPC 68902
